iter	Passed	Remaining
597	1196	804
598	1197	801
599	1198	799
600	1199	796
601	1200	793
602	1202	791
603	1203	788
604	1204	786
605	1206	784
606	1207	781
607	1208	779
608	1210	777
609	1211	774
610	1212	772
611	1214	769
612	1215	767
613	1216	764
614	1217	762
615	1218	759
616	1220	757
617	1221	755
618	1223	752
619	1224	750
620	1225	748
621	1227	745
622	1228	743
623	1229	740
624	1230	738
625	1231	735
626	1232	733
627	1233	730
628	1235	728
629	1236	726
630	1238	724
631	1239	721
632	1240	719
633	1241	716
634	1243	714
635	1244	712
636	1245	709
637	1246	707
638	1248	705
639	1249	702
640	1250	700
641	1252	698
642	1253	695
643	1254	693
644	1255	691
645	1257	688
646	1258	686
647	1259	684
648	1260	681
649	1261	679
650	1263	677
651	1264	674
652	1265	672
653	1266	670
654	1268	667
655	1269	665
656	1270	663
657	1271	661
658	1273	658
659	1274	656
660	1275	654
661	1276	651
662	1278	649
663	1279	647
664	1280	645
665	1281	642
666	1283	640
667	1284	638
668	1286	636
669	1287	634
670	1288	631
671	1290	629
672	1291	627
673	1292	625
674	1294	623
675	1295	620
676	1296	618
677	1297	616
678	1299	614
679	1300	612
680	1301	609
681	1303	607
682	1304	605
683	1306	603
684	1307	601
685	1308	598
686	1309	596
687	1311	594
688	1312	592
689	1313	590
690	1315	588
691	1316	586
692	1317	583
693	1319	581
694	1320	579
695	1321	577
696	1323	575
697	1324	573
698	1325	570
699	1327	568
700	1329	567
701	1331	565
702	1332	562
703	1333	560
704	1335	558
705	1336	556
706	1337	554
707	1339	552
708	1340	550
709	1341	548
710	1343	546
711	1345	544
712	1347	542
713	1348	540
714	1350	538
715	1351	536
716	1353	534
717	1354	532
718	1356	530
719	1357	527
720	1358	525
721	1360	523
722	1361	521
723	1363	519
724	1364	517
725	1366	515
726	1367	513
727	1369	511
728	1370	509
729	1371	507
730	1372	505
731	1374	503
732	1375	501
733	1377	499
734	1378	497
735	1380	495
736	1381	493
737	1383	491
738	1384	489
739	1385	486
740	1387	484
741	1388	482
742	1389	480
743	1391	478
744	1392	476
745	1393	474
746	1395	472
747	1396	470
748	1398	468
749	1399	466
750	1400	464
751	1402	462
752	1403	460
753	1404	458
754	1405	456
755	1407	454
756	1408	452
757	1410	450
758	1411	448
759	1413	446
760	1415	444
761	1416	442
762	1418	440
763	1419	438
764	1421	436
765	1422	434
766	1424	432
767	1426	430
768	1427	428
769	1428	426
770	1430	424
771	1431	422
772	1432	420
773	1434	418
774	1435	416
775	1437	414
776	1439	413
777	1441	411
778	1443	409
779	1444	407
780	1446	405
781	1447	403
782	1449	401
783	1450	399
784	1451	397
785	1453	395
786	1454	393
787	1455	391
788	1457	389
789	1458	387
790	1460	385
791	1461	383
792	1463	381
793	1464	380
794	1466	378
795	1467	376
796	1469	374
797	1471	372
798	1472	370
799	1474	368
800	1476	366
801	1478	364
802	1480	363
803	1482	361
804	1484	359
805	1485	357
806	1487	355
807	1489	353
808	1491	352
809	1492	350
810	1494	348
811	1495	346
812	1496	344
813	1497	342
814	1499	340
815	1501	338
816	1503	336
817	1504	334
818	1507	333
819	1508	331
820	1511	329
821	1515	328
822	1517	326
823	1519	324
824	1521	322
825	1523	320
826	1524	319
827	1526	317
828	1528	315
829	1530	313
830	1532	311
831	1534	309
832	1537	308
833	1538	306
834	1539	304
835	1541	302
836	1542	300
837	1543	298
838	1545	296
839	1546	294
840	1548	292
841	1550	290
842	1553	289
843	1554	287
844	1555	285
845	1556	283
846	1557	281
847	1559	279
848	1560	277
849	1563	275
850	1564	274
851	1567	272
852	1568	270
853	1570	268
854	1571	266
855	1572	264
856	1573	262
857	1575	260
858	1576	258
859	1579	257
860	1580	255
861	1582	253
862	1584	251
863	1585	249
864	1586	247
865	1587	245
866	1589	243
867	1590	241
868	1592	240
869	1594	238
870	1596	236
871	1597	234
872	1598	232
873	1600	230
874	1601	228
875	1602	226
876	1603	224
877	1605	223
878	1607	221
879	1609	219
880	1611	217
881	1612	215
882	1613	213
883	1614	211
884	1616	210
885	1617	208
886	1618	206
887	1620	204
888	1621	202
889	1623	200
890	1625	198
